charge_weight_kg,explosive_type,charge_shape,tnt_equivalent_weight_kg,standoff_distance_m,scaled_distance_Z,structure_type,quality_factor,peak_overpressure_kpa,impulse_kpa_ms,damage_category
306.765,RDX,cylindrical,638.072,10.23,1.1883,glazing_window,0.766,869.742,104.555,collapse
339.173,C4,cylindrical,604.066,1.971,0.2332,masonry_wall,1.106,14136.392,500.297,collapse
459.84,RDX,spherical,735.744,10.479,1.1607,glazing_window,0.885,1085.875,110.513,collapse
268.935,C4,spherical,368.441,6.543,0.9127,steel_frame,0.981,1530.401,107.571,collapse
23.995,C4,spherical,32.874,1.261,0.3937,rc_wall,1.257,6348.143,107.264,moderate
10.799,C4,cylindrical,19.233,12.035,4.4921,glazing_window,0.986,75.86,8.893,moderate
129.324,TNT,cylindrical,168.122,10.137,1.8366,rc_wall,1.065,402.269,44.992,minor
12.436,C4,spherical,17.038,4.607,1.7905,rc_wall,1.027,470.206,21.199,none
341.601,RDX,cylindrical,710.53,33.872,3.7959,masonry_wall,0.944,103.986,36.045,moderate
1.293,ANFO,hemispherical,2.12,34.516,26.8676,masonry_wall,0.798,8.5,1.004,none
49.317,ANFO,spherical,40.44,19.353,5.6383,rc_wall,0.945,59.024,9.821,none
592.897,TNT,cylindrical,770.766,3.454,0.3767,glazing_window,1.06,7089.342,352.877,collapse
50.75,ANFO,hemispherical,83.229,63.646,14.5774,masonry_wall,1.055,13.803,5.433,none
1.055,RDX,cylindrical,2.195,45.938,35.3487,masonry_wall,0.944,7.793,0.833,none
161.123,TNT,hemispherical,322.246,10.632,1.5508,glazing_window,0.99,507.287,56.774,collapse
1.331,RDX,hemispherical,4.258,163.439,100.8387,steel_frame,0.891,7.359,1.0,none
319.211,ANFO,hemispherical,523.506,44.626,5.5371,rc_wall,0.886,55.377,25.396,none
2.679,RDX,cylindrical,5.571,5.058,2.8534,rc_wall,0.929,163.455,9.528,none
195.217,RDX,hemispherical,624.696,9.869,1.1544,glazing_window,0.971,941.061,107.123,collapse
0.706,C4,spherical,0.967,13.699,13.8513,masonry_wall,1.043,17.233,1.197,none
2.058,ANFO,hemispherical,3.375,134.502,89.6663,masonry_wall,1.076,7.454,0.739,none
27.306,RDX,spherical,43.689,63.255,17.96,glazing_window,1.24,14.553,3.915,none
57.328,ANFO,spherical,47.009,12.289,3.405,steel_frame,0.95,126.89,16.251,none
473.503,RDX,hemispherical,1515.211,115.37,10.0447,glazing_window,0.876,19.938,19.418,severe
5.152,C4,cylindrical,9.176,32.912,15.7205,steel_frame,1.118,12.912,2.279,none
0.682,ANFO,hemispherical,1.118,18.912,18.2197,masonry_wall,0.901,12.428,1.024,none
1353.227,C4,hemispherical,3707.843,4.671,0.3018,steel_frame,0.921,9943.926,678.005,collapse
18.459,RDX,spherical,29.535,192.082,62.1404,steel_frame,1.189,7.686,1.71,none
36.977,TNT,cylindrical,48.07,5.333,1.4667,masonry_wall,1.133,674.427,40.279,moderate
4.409,C4,cylindrical,7.853,143.099,71.9931,glazing_window,1.198,8.635,1.094,none
2.212,C4,cylindrical,3.939,23.944,15.1615,glazing_window,0.893,14.689,1.896,none
31.818,TNT,cylindrical,41.363,2.143,0.6198,glazing_window,1.169,3174.081,81.456,collapse
1.373,ANFO,cylindrical,1.464,14.624,12.8792,steel_frame,0.895,16.336,1.734,none
229.527,C4,hemispherical,628.905,2.002,0.2337,glazing_window,1.059,12760.212,490.104,collapse
28.766,RDX,cylindrical,59.833,33.517,8.5695,rc_wall,0.916,28.249,8.041,none
96.07,RDX,cylindrical,199.825,1.753,0.2998,glazing_window,1.027,11639.921,307.733,collapse
1147.561,RDX,hemispherical,3672.194,70.935,4.5978,rc_wall,1.038,85.633,50.569,minor
370.811,ANFO,hemispherical,608.131,3.43,0.4049,rc_wall,0.873,6023.156,267.575,collapse
